recnum	degrees	direction	display	scalerank	dd
27	80	N	80 N	2	80
26	60	N	60 N	2	60
25	40	N	40 N	2	40
24	20	N	20 N	2	20
23	0		0	2	0
22	20	S	20 S	2	-20
21	40	S	40 S	2	-40
20	60	S	60 S	2	-60
19	80	S	80 S	2	-80
18	180	E	180 E	2	180
17	160	E	160 E	2	160
16	140	E	140 E	2	140
15	120	E	120 E	2	120
14	100	E	100 E	2	100
13	80	E	80 E	2	80
12	60	E	60 E	2	60
11	40	E	40 E	2	40
10	20	E	20 E	2	20
9	0		0	2	0
8	20	W	20 W	2	-20
7	40	W	40 W	2	-40
6	60	W	60 W	2	-60
5	80	W	80 W	2	-80
4	100	W	100 W	2	-10
3	120	W	120 W	2	-12
2	140	W	140 W	2	-14
1	160	W	160 W	2	-16
