scalerank,featurecla
N,C
2,Pacific Groupings
2,Pacific Groupings
2,Pacific Groupings
2,Pacific Groupings
2,Pacific Groupings
2,Pacific Groupings
2,Pacific Groupings
2,Pacific Groupings
2,Pacific Groupings
2,Pacific Groupings
2,Pacific Groupings
2,Pacific Groupings
2,Pacific Groupings
2,Pacific Groupings
2,Pacific Groupings
2,Pacific Groupings
2,Pacific Groupings
2,Pacific Groupings
2,Pacific Groupings
2,Pacific Groupings
2,Pacific Groupings
2,Pacific Groupings
2,Pacific Groupings
2,Pacific Groupings
2,Pacific Groupings
2,Pacific Groupings
2,Pacific Groupings
2,Pacific Groupings
2,Pacific Groupings
2,Pacific Groupings
2,Pacific Groupings
2,Pacific Groupings
2,Pacific Groupings
2,Pacific Groupings
2,Pacific Groupings
2,Pacific Groupings
2,Pacific Groupings
2,Pacific Groupings
2,Pacific Groupings
2,Pacific Groupings
2,Pacific Groupings
2,Pacific Groupings
2,Pacific Groupings
2,Pacific Groupings
2,Pacific Groupings
2,Pacific Groupings
2,Pacific Groupings
2,Pacific Groupings
2,Pacific Groupings
2,Pacific Groupings
2,Pacific Groupings
2,Pacific Groupings
2,Pacific Groupings
2,Pacific Groupings
2,Pacific Groupings
2,Pacific Groupings
2,Pacific Groupings
2,Pacific Groupings
2,Pacific Groupings
2,Pacific Groupings
2,Pacific Groupings
2,Pacific Groupings
